id,title,completed,created_at
ec26f5d0-823e-4712-a969-f8f44465a775,Complete vx6,false,2025-12-04T15:12:12.136887729
0f6b11c3-c9cf-47e3-94bb-c4bb6276c490,hello world,false,2025-12-04T15:12:27.740025642
06814aaa-2130-4e1b-82d2-f056c114b0fc,complete the portfolio,false,2025-12-04T15:12:47.499894069
90ce6858-0664-48b2-8699-c3aadf79bf6c,get the tasks complete,false,2025-12-04T15:13:12.955537041
a592870d-3ead-45dc-9d6e-ad818f417d73,Buy Milk,false,2025-12-04T15:13:48.362804543
a8ae64bb-daff-45ec-9a3b-989f90bf40c3,purchase goods and services,false,2025-12-04T15:14:13.698773131
58b3ae7a-46cd-4de5-b9b6-ef6c8b54f27a,add more tasks,false,2025-12-04T15:14:31.162098973
04a9ba93-6f5c-428e-a9f2-274fd1d8555f,research the history of the internet,false,2025-12-04T15:15:16.665575384
89697b7a-a4ee-4584-ace0-23ee4be8831a,solve world hunger,false,2025-12-04T15:15:23.585572613
8a6e1272-3b95-47fb-b22a-b8bf5f6a5048,achieve global peace,false,2025-12-04T15:15:34.913052297
cd595b2e-15a2-4599-bf96-0a403a529ccc,find AGI,false,2025-12-04T15:15:43.305441162
